date,open,close,high,low,volume,turnover,amount
2006-04-25,1139.5,1141.93,1149.54,1123.1,38611125.0,0.0276,22885232700.0
2006-04-26,1142.9,1155.73,1162.02,1142.07,41824301.0,0.0298,25476171600.0
2006-04-27,1157.38,1155.27,1159.9,1145.26,31980451.0,0.022799999999999997,18862520900.0
2006-04-28,1143.59,1172.35,1173.88,1133.19,40801858.0,0.028999999999999998,24343009300.0
2006-05-08,1179.58,1218.44,1218.86,1179.58,44912821.0,0.032,26536314900.000004
2006-05-09,1226.31,1251.61,1252.76,1222.68,55993861.0,0.0398,33111916300.0
2006-05-10,1257.98,1265.93,1273.68,1243.47,55667043.0,0.039599999999999996,33568258200.0
2006-05-11,1267.22,1255.04,1294.87,1254.35,61133725.0,0.0434,37299607500.0
2006-05-12,1255.23,1296.26,1296.38,1252.68,54920331.0,0.038900000000000004,34261843900.0
2006-05-15,1312.14,1352.16,1352.41,1301.8,73534005.0,0.0521,45768188000.0
2006-05-16,1368.13,1331.13,1387.4,1322.14,79658170.0,0.056299999999999996,50916396700.0
2006-05-17,1331.69,1335.52,1356.13,1306.87,61823287.0,0.0435,39133826400.0
2006-05-18,1322.65,1331.2,1340.52,1301.11,52056363.0,0.0366,31832852100.0
2006-05-19,1334.07,1366.1,1371.22,1329.32,67123869.0,0.0466,36222359900.0
2006-05-22,1366.32,1373.67,1387.57,1360.35,66262172.0,0.045899999999999996,38198875500.0
2006-05-23,1365.1,1317.65,1365.1,1316.55,56872388.0,0.0394,32747751200.0
2006-05-24,1325.68,1308.24,1351.31,1277.33,51176632.0,0.0354,31096815600.0
2006-05-25,1304.69,1307.7,1316.48,1285.73,34046436.0,0.0235,20482556600.0
2006-05-26,1312.24,1331.02,1331.45,1309.46,36385665.0,0.025099999999999997,21741992000.0
2006-05-29,1339.9,1366.29,1366.84,1330.63,44480011.0,0.030699999999999998,27100627300.0
2006-05-30,1375.3,1378.76,1384.68,1360.55,44761027.0,0.030899999999999997,28992430900.0
2006-05-31,1377.45,1365.45,1386.94,1355.01,47335883.0,0.0326,29359692200.000004
2006-06-01,1364.18,1402.88,1403.27,1362.94,53493453.0,0.0368,31383492700.0
2006-06-02,1406.62,1390.12,1411.78,1382.0,64109162.0,0.0441,37407323600.0
2006-06-05,1391.46,1403.16,1403.3,1362.72,55101819.0,0.0378,29784741500.0
2006-06-06,1400.27,1399.14,1413.11,1391.9,46835278.0,0.032,26497855299.999996
2006-06-07,1398.18,1320.23,1398.18,1319.7,52047647.0,0.0355,31076290200.0
2006-06-08,1309.07,1325.98,1331.89,1286.9,45677509.0,0.031200000000000002,26462585900.0
2006-06-09,1320.81,1294.19,1329.84,1293.05,37392623.0,0.0255,21631040600.0
2006-06-12,1283.83,1297.67,1308.12,1275.4,25033331.0,0.0171,15025360000.0
2006-06-13,1296.41,1298.28,1312.13,1284.62,27823031.0,0.0189,16716170400.0
2006-06-14,1291.69,1283.88,1291.69,1269.52,28801661.0,0.0195,15982326399.999998
2006-06-15,1283.72,1285.39,1300.11,1280.5,23241302.0,0.015700000000000002,12947893400.0
