date,open,close,high,low,volume,turnover,amount
2025-02-07,32.41,31.9,32.92,31.21,93446200.0,0.0674,3014337000.0
2025-02-10,31.75,32.93,33.13,31.48,78334200.0,0.0565,2557065500.0
2025-02-11,32.81,33.31,33.73,32.04,71673100.0,0.051699999999999996,2354188800.0
2025-02-12,33.26,34.27,34.87,33.08,64586300.0,0.0466,2213213000.0
2025-02-13,33.93,32.54,34.49,32.28,60863500.0,0.043899999999999995,2013142900.0
2025-02-14,32.43,31.82,33.03,31.44,59856700.0,0.0432,1925640500.0
2025-02-17,31.44,32.73,32.85,31.44,54363900.0,0.0392,1764204500.0
2025-02-18,32.59,31.93,33.01,31.74,41934300.0,0.0302,1358964900.0
2025-02-19,31.83,32.14,32.28,31.54,41022000.0,0.0296,1313833700.0
2025-02-20,31.83,32.97,33.2,31.63,60209300.0,0.0434,1969599200.0000002
2025-02-21,33.01,32.99,33.53,32.53,62612300.0,0.0452,2069260700.0
2025-02-24,33.01,34.24,35.13,31.85,102909400.0,0.0742,3462051500.0
2025-02-25,33.95,34.8,35.74,33.53,91210400.0,0.0658,3180867900.0
2025-02-26,34.93,34.73,35.33,34.16,45635200.0,0.0329,1588688299.9999998
2025-02-27,34.75,33.81,35.12,33.13,57114500.0,0.0412,1936086000.0
2025-02-28,33.51,31.99,33.51,31.93,48637200.0,0.0351,1583410900.0
2025-03-03,31.93,29.73,31.98,29.13,110578300.0,0.07980000000000001,3345626599.9999995
2025-03-04,29.01,30.04,30.23,28.44,47835100.0,0.0345,1417961700.0000002
2025-03-05,30.05,30.91,30.93,30.03,39236900.0,0.028300000000000002,1206133200.0
2025-03-06,30.91,30.03,31.37,29.53,83196200.0,0.06,2539067900.0
2025-03-07,29.81,29.75,30.67,29.43,53167100.0,0.0384,1598272100.0
2025-03-10,29.45,30.22,30.33,29.0,50592500.0,0.0365,1505659900.0
2025-03-11,30.06,31.92,32.27,30.06,89568700.0,0.0646,2831668600.0
2025-03-12,31.88,31.96,32.42,31.48,51879200.0,0.0374,1658724300.0
2025-03-13,31.95,31.83,33.21,31.55,54669300.0,0.0394,1761907300.0
2025-03-14,31.76,33.44,33.58,31.64,73787800.0,0.053200000000000004,2421543700.0
2025-03-17,33.87,34.41,34.56,33.46,79846200.0,0.0576,2722529000.0
2025-03-18,34.43,37.01,37.53,34.26,116342500.0,0.0839,4242311800.0
2025-03-19,36.64,35.73,36.86,35.11,70345800.0,0.0507,2523460200.0
2025-03-20,35.64,34.37,35.64,34.29,48191000.0,0.0348,1681818100.0
2025-03-21,34.37,34.06,34.71,33.74,45081500.0,0.0325,1541631900.0
2025-03-24,34.23,33.48,34.65,32.74,49660600.0,0.0358,1666136200.0
2025-03-25,33.79,32.28,33.9,32.06,37291900.0,0.0269,1224147600.0
2025-03-26,32.61,32.52,33.23,32.44,29560500.0,0.0213,973698200.0000001
2025-03-27,32.23,32.34,32.93,31.94,23362900.0,0.0169,758336300.0
2025-03-28,32.13,33.15,33.73,32.08,44751400.0,0.0323,1488474500.0
2025-03-31,33.03,32.67,33.87,32.38,38623700.0,0.0279,1276495900.0
2025-04-01,32.77,32.68,33.44,31.96,34546900.0,0.024900000000000002,1135343500.0
2025-04-02,32.67,32.89,33.5,32.5,25898300.0,0.0187,856026200.0
2025-04-03,31.83,29.59,31.83,29.59,77838100.0,0.056100000000000004,2351528900.0
2025-04-07,26.62,26.62,26.62,26.62,4380900.0,0.0032,116926200.00000001
2025-04-08,23.95,23.95,24.11,23.95,41893500.0,0.0302,1006312700.0
2025-04-09,21.55,23.09,23.46,21.55,218124400.0,0.1573,4815428400.0
2025-04-10,25.32,23.61,25.32,23.48,164535500.0,0.11869999999999999,3992241200.0
2025-04-11,22.93,24.93,25.67,22.91,138317800.0,0.0998,3359423100.0
2025-04-14,25.92,24.8,26.09,24.55,114907400.0,0.08289999999999999,2904489500.0
2025-04-15,24.66,24.3,24.8,23.78,65586600.0,0.0473,1590944700.0
2025-04-16,24.06,22.99,24.14,22.64,77538200.0,0.0559,1806047700.0
2025-04-17,23.12,22.99,23.78,22.88,56616700.0,0.0408,1325573200.0
2025-04-18,22.95,23.32,23.47,22.77,50556100.0,0.0365,1175236700.0
2025-04-21,23.41,23.87,24.03,22.73,62564300.0,0.0451,1469049500.0
2025-04-22,23.83,23.23,23.85,23.19,43767900.0,0.0316,1029188800.0
2025-04-23,24.81,24.49,24.91,23.93,85936200.0,0.062,2100281500.0
2025-04-24,24.51,24.36,24.89,24.08,53457000.0,0.038599999999999995,1311669200.0000002
2025-04-25,24.38,25.21,25.72,24.29,70113700.0,0.0506,1778661900.0
2025-04-28,24.94,24.93,25.42,24.81,35197300.0,0.0254,883999700.0
2025-04-29,24.77,24.82,25.26,24.4,35437900.0,0.0256,883386100.0
2025-04-30,25.01,25.81,26.22,24.94,56380700.0,0.0407,1448500500.0
2025-05-06,25.91,27.23,27.28,25.73,58363200.0,0.0421,1558029100.0
2025-05-07,27.74,26.64,27.74,26.15,81445700.0,0.0587,2177110100.0
2025-05-08,26.54,27.72,28.18,26.47,73047500.0,0.0527,2013607600.0
2025-05-09,27.72,27.0,27.72,26.59,48927900.0,0.0353,1325205100.0
2025-05-12,28.49,28.64,28.68,27.79,87957800.0,0.0634,2488443200.0
2025-05-13,29.33,28.42,29.35,28.25,76791400.0,0.0554,2205700900.0
2025-05-14,28.43,28.38,29.48,27.93,67153800.0,0.0484,1930411200.0
2025-05-15,28.1,27.53,28.42,27.53,44416200.0,0.032,1240885100.0
2025-05-16,27.33,27.67,28.08,27.21,33828800.0,0.024399999999999998,940485500.0
2025-05-19,27.86,27.73,27.93,27.2,31947700.0,0.023,885714900.0
